"","poor_or_fair_health_percent","poor_physical_health_days_avg","adult_smoking_percent","excessive_drinking_percent","adult_obesity_percent","food_env_index","uninsured_percent","percent_receiving_hba1c","hs_grad_rate","PSED_completion_rate","unemployed_percent","income_ineq_income_ratio","percent_food_insecure","access_exercise_opp_percent","diabetic_percent","physical_inactivity_percent","median_household_income","african_american_percent","american_indian_percent","asian_percent","pacific_islander_percent","hispanic_percent","nonhispanic_white_percent","not_eng_prof_percent","female","rural","County"
"451",-1.50734496795771,-0.847710639643845,-1.38935264160952,1.14103154489988,-1.20737105666597,0.737224885842556,-1.23505701960677,0.819305697528977,0.951852774852538,1.48904393934285,-0.985689614275691,-1.51106409201227,-1.30449549594614,1.31685084190238,-0.872278140421846,-1.08555669744495,3.6629209774605,-0.626930586878337,-0.249806498577841,0.672479862453274,0.645872404149001,0.892990199289124,0.542275186945704,-0.0554812604593048,0.194232970888277,-1.27885200867219,3
"452",-0.129685275747408,0.280966977962334,-1.08839233262782,0.345129276894534,-0.0536700401843376,-0.197608821650976,-0.114111413500411,1.68680584785377,0.195673629496382,0.179667305196751,0.327763618780648,-0.106443875762664,-0.367934627061732,0.180029719371126,0.576488321178452,0.397064485578456,0.774269522191161,-0.133674579921144,-0.172271988834961,-0.537090457340044,0.645872404149001,-0.291777534419297,0.300272717441213,-0.24793658129375,0.372122354643997,-0.21035946878942,4
"453",0.421378601136714,0.422051680163105,-0.185511405682718,0.345129276894534,0.523180468056478,-0.57154230464839,-0.114111413500411,-0.39519451292574,-0.776556700247247,-0.448833479193375,0.140127442629742,-0.106443875762664,0.334486024601574,-1.41994074937656,0.576488321178452,1.2866371953925,-0.729834267530454,-0.161860637461556,0.370469579365198,-0.207207642850958,-0.499164545034824,-0.656321452483427,0.25489725440912,-0.536619562545417,-0.0903900431208765,0.421327944726179,5
"454",-0.40521721418947,0.13988227576156,-0.787432023646121,0.875730788898099,0.23475521393607,-0.0106420801522697,-0.300935681184805,0.472305637399058,1.60000632801496,0.112327935440666,-0.375872041785248,-0.246905897387625,-0.836215061503936,-1.08310486121916,0.0935661673116858,-1.08555669744495,0.740267321738036,-1.33158202538861,0.292935069622318,-0.0972467046879286,0.645872404149001,0.300606332434913,1.31365805849127,-0.440391902128194,-0.446168810632317,0.512049009433207,6
"455",0.972442478020837,0.986390488966195,-0.185511405682718,-0.185472235109031,0.811605722176886,-1.13244252914451,-0.487759948869198,1.68680584785377,1.49198073582122,0.134774392026028,0.515399794931553,0.736328253987096,0.802766459043778,-1.54625420743559,0.576488321178452,0.990112958787819,-0.755939182717046,0.669628059980569,-0.327341008320721,-0.537090457340044,-0.499164545034824,-0.74745743199946,-0.516485617136449,-0.825302543797084,0.799056875657724,0.958934254101158,7
"456",-1.23181302951565,-0.424456533041529,-1.38935264160952,0.610430032896317,-0.0536700401843376,0.643741515093203,-0.674584216553592,1.1663057576589,0.627775998271328,1.81077648373303,-0.704235350049333,-1.23014004876235,-0.836215061503936,1.19053738384335,-0.38935598655508,-1.38208093404963,1.52966679483848,-0.718535273884673,-0.0947374790920814,1.00236267694236,0.645872404149001,1.53094205590135,0.421273952193459,0.0407463999579177,0.194232970888277,-0.905887631543298,8
"457",-0.129685275747408,0.13988227576156,-0.48647171466442,-0.185472235109031,-0.342095294304746,-1.31940927064322,-0.487759948869198,0.819305697528977,-0.452479923666037,1.12241848178194,-0.000599689483437131,0.174480167487255,0.802766459043778,1.19053738384335,-0.38935598655508,-1.08555669744495,-0.041234866095881,1.15583755255266,-0.249806498577841,0.452557986127216,0.645872404149001,-0.200641554903265,-1.20468013978985,-0.440391902128194,0.870212629160013,-1.23853153546907,9
"458",-0.680749152631531,-0.283371830840756,-0.787432023646121,0.345129276894534,-0.918945802545561,0.26980803209579,-0.300935681184805,0.992805727593936,0.411724813883855,0.995221894464891,-0.798053438124785,-0.387367919012585,-0.367934627061732,0.853701495685943,-0.38935598655508,0.100540248973775,0.555668278632845,-0.464860756020974,-0.249806498577841,0.452557986127216,0.645872404149001,-0.0183695958712002,0.481774569569581,-0.536619562545417,0.407700231395142,-1.03356913001986,10
"459",-0.129685275747408,0.563136382363877,-0.48647171466442,0.345129276894534,0.23475521393607,0.643741515093203,-0.114111413500411,0.472305637399058,1.49198073582122,-0.680780197242112,0.515399794931553,1.71956240536182,-0.367934627061732,-0.914686917140451,-0.38935598655508,0.397064485578456,-0.317310796871736,-1.0356284212143,-0.327341008320721,-0.647051395503073,-0.499164545034824,-0.200641554903265,1.24559486394314,-0.0554812604593048,-0.446168810632317,1.63766221968707,11
"460",-1.78287690639978,-0.847710639643845,-1.69031295059123,1.14103154489988,-0.918945802545561,1.57857522258674,-0.487759948869198,0.472305637399058,1.49198073582122,1.436668873977,-1.1733257904266,-1.79198813526219,-2.24105636483055,0.55897009354821,-0.38935598655508,-1.08555669744495,1.62355674189615,-1.91644271935214,-0.172271988834961,-0.757012333666102,-0.499164545034824,0.209470352918881,2.12285381589692,-0.536619562545417,-0.0192342896185874,1.63766221968707,12
"461",0.421378601136714,0.563136382363877,-0.185511405682718,0.345129276894534,-0.0536700401843376,-0.197608821650976,0.259537121868377,-0.048194452795821,-0.66853110805351,-0.51617284894946,1.03139927934654,1.29817634048694,0.100345807380472,-0.956791403160127,-0.872278140421846,0.397064485578456,-0.822517684894617,-0.0068373209892948,-0.249806498577841,-0.866973271829131,-0.499164545034824,-0.884161401273508,0.277584985925166,-0.825302543797084,-1.22888209915748,1.63766221968707,13
"462",1.2479744164629,0.986390488966195,0.416409212280685,0.0798285208927517,0.523180468056478,-0.57154230464839,0.259537121868377,0.819305697528977,0.411724813883855,-0.456315631388495,0.0932183985920157,0.595866232362136,1.03690667626488,-0.451537570924015,-0.38935598655508,-0.492508224235588,-0.846428909729395,1.31086086902492,-0.249806498577841,0.0127142334751003,-0.499164545034824,-0.793025421757476,-1.23493044847791,-1.01775786463153,-2.2962184016918,1.04629527937459,14
