"","health_outcomes_rank","health_factors_rank","life_length_rank","life_quality_rank","health_behav_rank","clinical_care_rank","socio_econ_fact_rank","physical_env_rank","County"
"28",1.57142857142857,1.14285714285714,2.14285714285714,2,1.28571428571429,1.57142857142857,1.14285714285714,4.28571428571429,29
"29",1.85714285714286,2.14285714285714,1,3.57142857142857,3.28571428571429,3.42857142857143,1.85714285714286,4,30
"30",2.57142857142857,3.85714285714286,3.71428571428571,1.85714285714286,2.57142857142857,9.71428571428571,2.14285714285714,2,28
"31",2.42857142857143,2.71428571428571,2.57142857142857,2.42857142857143,2.14285714285714,7,2.57142857142857,9,31
"32",3.42857142857143,2.85714285714286,4.42857142857143,2.71428571428571,5.42857142857143,7.28571428571429,1.57142857142857,3.57142857142857,32
"33",10,9.57142857142857,10,8.14285714285714,9,5.42857142857143,9.57142857142857,4.85714285714286,33
"34",9,9.71428571428571,8.71428571428571,8.85714285714286,8.28571428571428,5.28571428571429,9.71428571428571,8.28571428571428,34
"35",6.42857142857143,5.71428571428571,6.57142857142857,6.42857142857143,2.85714285714286,5.14285714285714,8,7,35
"36",9.28571428571428,7.57142857142857,9.71428571428571,7.57142857142857,2.42857142857143,1,9.85714285714286,8.42857142857143,36
"37",3.85714285714286,3.57142857142857,2.85714285714286,4.57142857142857,2.71428571428571,2.14285714285714,5.85714285714286,8.71428571428571,37
"38",2.71428571428571,3,2.28571428571429,3.71428571428571,3.14285714285714,5.71428571428571,3.28571428571429,6.14285714285714,38
"39",4,4.71428571428571,4,4.28571428571429,5,3.71428571428571,6.42857142857143,7.28571428571429,39
"40",5.42857142857143,2.57142857142857,5.71428571428571,4.85714285714286,3.71428571428571,1.28571428571429,4,5.42857142857143,40
"41",7,9.14285714285714,8,4.71428571428571,8.14285714285714,8.85714285714286,8.71428571428571,6.42857142857143,41
"42",7.71428571428571,8,8.28571428571428,6.57142857142857,8.85714285714286,6.28571428571429,6.85714285714286,5.14285714285714,42
"43",5,5.85714285714286,3.42857142857143,7.42857142857143,6.28571428571429,9,4.42857142857143,2.42857142857143,43
"44",9.71428571428571,9.28571428571428,9.42857142857143,9.28571428571428,7,9.85714285714286,8.57142857142857,6.28571428571429,44
"45",2.28571428571429,2.42857142857143,3.28571428571429,2.14285714285714,4.85714285714286,4.42857142857143,1.42857142857143,8,45
"46",9.14285714285714,9,8.85714285714286,9.14285714285714,7.85714285714286,8.42857142857143,9,5,46
"47",4.57142857142857,7.28571428571429,4.28571428571429,5,8.57142857142857,4.28571428571429,5.14285714285714,9.42857142857143,47
"48",5.28571428571429,4.42857142857143,5.14285714285714,5.85714285714286,6.85714285714286,2.42857142857143,5.42857142857143,7.14285714285714,48
"49",8.85714285714286,6.85714285714286,8.14285714285714,9.42857142857143,7.28571428571429,3,8.14285714285714,1.28571428571429,49
"50",6.28571428571429,5.14285714285714,4.85714285714286,8.42857142857143,7.71428571428571,6,4.57142857142857,1.42857142857143,50
"51",6.71428571428571,6.57142857142857,7,7,9.14285714285714,2.28571428571429,5.71428571428571,8.14285714285714,51
"52",1,1,1.28571428571429,1.14285714285714,1,3.14285714285714,1,4.71428571428571,52
"53",8.28571428571428,5.28571428571429,9,5.14285714285714,7.14285714285714,4.14285714285714,6.28571428571429,2.57142857142857,53
"54",2,8.71428571428571,3.57142857142857,1.28571428571429,7.57142857142857,6.85714285714286,9.42857142857143,1.85714285714286,54
"55",5.71428571428571,3.28571428571429,5.42857142857143,6,4.71428571428571,3.28571428571429,3.57142857142857,3,55
"56",3.71428571428571,7.42857142857143,3,4.42857142857143,5.71428571428571,9.28571428571428,6,7.42857142857143,56
"57",3.28571428571429,4.14285714285714,2.42857142857143,4.14285714285714,3,7.57142857142857,4.14285714285714,3.28571428571429,57
"58",1.14285714285714,7.14285714285714,1.42857142857143,1.42857142857143,9.42857142857143,8.57142857142857,2.42857142857143,6.57142857142857,58
"59",9.57142857142857,8.57142857142857,9.57142857142857,8.57142857142857,9.85714285714286,6.14285714285714,7.71428571428571,1.57142857142857,59
"60",7.14285714285714,5.42857142857143,7.85714285714286,5.71428571428571,5.14285714285714,2.85714285714286,7.28571428571429,6,60
"61",8.57142857142857,1.85714285714286,7.71428571428571,9.71428571428571,2,4.71428571428571,3.85714285714286,1.14285714285714,61
"62",2.14285714285714,9.42857142857143,1.85714285714286,3.85714285714286,3.85714285714286,10,9.14285714285714,4.42857142857143,62
"63",2.85714285714286,2.28571428571429,6.85714285714286,1,1.85714285714286,4,3.71428571428571,5.28571428571429,63
"64",5.85714285714286,6.71428571428571,5,6.85714285714286,3.42857142857143,9.14285714285714,4.85714285714286,9.71428571428571,64
"65",8,3.85714285714286,8.28571428571428,7.14285714285714,3.85714285714286,4.71428571428571,5.14285714285714,4.28571428571429,1
"66",1.14285714285714,6,1,7.85714285714286,5.71428571428571,7.57142857142857,5.71428571428571,5.42857142857143,2
"67",2.28571428571429,1.28571428571429,1.85714285714286,2.71428571428571,1.85714285714286,2.28571428571429,1.28571428571429,10,3
"68",5.28571428571429,5.42857142857143,2.42857142857143,9.28571428571428,5.14285714285714,3.28571428571429,7.14285714285714,9,4
"69",8.14285714285714,8.57142857142857,7,9,9.57142857142857,5.71428571428571,6.71428571428571,5,5
"70",5,3.71428571428571,5.28571428571429,4.28571428571429,4.42857142857143,7.28571428571429,2.71428571428571,7.85714285714286,6
"71",6.57142857142857,8.85714285714286,7.28571428571429,4.57142857142857,9.71428571428571,6.85714285714286,7,8,7
"72",1.42857142857143,2,1.14285714285714,3.28571428571429,3.42857142857143,4.14285714285714,1.85714285714286,5.57142857142857,8
"73",6.28571428571429,3.42857142857143,6.57142857142857,6.14285714285714,2.85714285714286,1,7.28571428571429,9.28571428571428,9
"74",5.42857142857143,3,6.85714285714286,3.57142857142857,6.42857142857143,2.14285714285714,2.28571428571429,6.42857142857143,10
"75",2.85714285714286,6.28571428571429,3.71428571428571,1.85714285714286,2.42857142857143,9.57142857142857,6.57142857142857,8.14285714285714,11
"76",1.28571428571429,1.57142857142857,1.42857142857143,1.28571428571429,1.28571428571429,8.57142857142857,1.14285714285714,7,12
"77",8.42857142857143,8.71428571428571,5.14285714285714,10,7,7.42857142857143,8.71428571428571,9.14285714285714,13
"78",5.14285714285714,7.85714285714286,6,4.14285714285714,5.42857142857143,5.28571428571429,8.57142857142857,8.57142857142857,14
"79",9.71428571428571,8.28571428571428,9.57142857142857,9.71428571428571,6.14285714285714,4,9.14285714285714,2.71428571428571,15
"80",6.71428571428571,8,5.42857142857143,8.42857142857143,8.14285714285714,8.14285714285714,6,8.42857142857143,16
"81",3.57142857142857,1.71428571428571,4.57142857142857,3.42857142857143,1.14285714285714,1.28571428571429,4,8.71428571428571,17
"82",10,10,10,7.28571428571429,9.42857142857143,8.28571428571428,10,7.71428571428571,18
"83",7.85714285714286,6.14285714285714,9.28571428571428,3.71428571428571,8.28571428571428,7,4.42857142857143,6,19
"84",7.42857142857143,6.42857142857143,6.14285714285714,9.57142857142857,5.85714285714286,6.42857142857143,6.85714285714286,5.85714285714286,20
"85",8.57142857142857,9.71428571428571,8.71428571428571,7.57142857142857,10,7.85714285714286,9,3.42857142857143,21
"86",7.14285714285714,7,8.14285714285714,5.28571428571429,7.85714285714286,8.42857142857143,4.85714285714286,8.14285714285714,22
"87",4.57142857142857,4.42857142857143,4.14285714285714,5.57142857142857,6,3.85714285714286,5.57142857142857,4.14285714285714,23
"88",7.71428571428571,7.28571428571429,7.14285714285714,8.14285714285714,4.85714285714286,3.71428571428571,8.14285714285714,9.85714285714286,24
"89",3.85714285714286,3.57142857142857,3,6.28571428571429,4.14285714285714,9,2.57142857142857,2.28571428571429,25
"90",3.28571428571429,1.85714285714286,3.85714285714286,3.14285714285714,1.71428571428571,1.57142857142857,3.85714285714286,3.71428571428571,26
"91",8.28571428571428,5,8.42857142857143,7.42857142857143,9.28571428571428,5.42857142857143,2.85714285714286,1.57142857142857,27
"92",2,1.14285714285714,2.57142857142857,1.42857142857143,1.42857142857143,1.71428571428571,1.42857142857143,1.28571428571429,29
"93",2.14285714285714,3.14285714285714,1.57142857142857,3,6.57142857142857,3,2,8.85714285714286,30
"94",2.71428571428571,5.14285714285714,3.42857142857143,1.57142857142857,3.28571428571429,9.85714285714286,3.28571428571429,7.42857142857143,28
"95",1.85714285714286,2.85714285714286,2.14285714285714,2.14285714285714,2.14285714285714,4.42857142857143,3,6.71428571428571,31
"96",3.14285714285714,2.42857142857143,4,2.42857142857143,4.57142857142857,6.57142857142857,1.57142857142857,3.57142857142857,32
"97",9.85714285714286,9.85714285714286,9.85714285714286,9.14285714285714,9,8,9.57142857142857,2.14285714285714,33
"98",8.85714285714286,9.57142857142857,8,9.42857142857143,7.71428571428571,4.57142857142857,9.42857142857143,9.42857142857143,34
"99",5.85714285714286,6.85714285714286,6.28571428571429,5.42857142857143,4,4.85714285714286,8,6.57142857142857,35
"100",9.42857142857143,7.71428571428571,9.71428571428571,7.71428571428571,2,1.14285714285714,9.85714285714286,4.57142857142857,36
"101",4.14285714285714,3.28571428571429,4.42857142857143,4.71428571428571,3.57142857142857,2.57142857142857,5.42857142857143,2,37
"102",1.71428571428571,2.57142857142857,2,2.28571428571429,3.14285714285714,6.28571428571429,2.42857142857143,1.14285714285714,38
"103",4.71428571428571,4,5.85714285714286,4,2.71428571428571,2,6.14285714285714,9.71428571428571,39
"104",4.28571428571429,2.28571428571429,4.71428571428571,4.85714285714286,3,1.42857142857143,3.42857142857143,6.28571428571429,40
"105",6.85714285714286,8.42857142857143,7.57142857142857,5.71428571428571,4.71428571428571,9.42857142857143,8.42857142857143,1.71428571428571,41
"106",6.42857142857143,7.42857142857143,6.42857142857143,6.42857142857143,6.71428571428571,6,7.85714285714286,6.14285714285714,42
"107",4,7.57142857142857,2.71428571428571,6.71428571428571,7.42857142857143,8.85714285714286,5.85714285714286,6.85714285714286,43
"108",9.14285714285714,4.85714285714286,8.85714285714286,8.57142857142857,5.57142857142857,3.14285714285714,7.42857142857143,4.85714285714286,44
