Year,FIPS,State,County,Year,health_outcomes_rank,health_factors_rank,life_length_rank,life_quality_rank,health_behav_rank,clinical_care_rank,socio_econ_fact_rank,physical_env_rank,premature_deaths,premature_death_ypll_rate,ypll_black,ypll_hispanic,ypll_white,life_expectancy,life_expectancy_black,life_expectancy_hispanic,life_expectancy_white,poor_or_fair_health_percent,poor_physical_health_days_avg,adult_smoking_percent,excessive_drinking_percent,adult_obesity_percent,food_env_index,uninsured_percent,number_of_diabetics,percent_receiving_hba1c,percent_receiving_hba1c_black,percent_receiving_hba1c_white,AFGR,hs_grad_rate,PSED_completion_rate,unemployed_percent,income_inequality_GINI,income_ineq_80th_percentile_income,income_ineq_20th_percentile_income,income_ineq_income_ratio,percent_no_emo_social_support,percent_access_healthy_food_access,percent_limited_access_healthy_food_access,percent_food_insecure,percent_fast_food,access_exercise_opp_percent,access_rec_fac_rate,park_access_percent,diabetic_percent,binge_drinking_percent,physical_inactivity_percent,median_household_income,res_segregation_index_black_white,res_segregation_index_nonwh_white,liquor_store_density_rate,african_american_percent,american_indian_percent,asian_percent,pacific_islander_percent,hispanic_percent,nonhispanic_white_percent,not_eng_prof_percent,female,rural
2011,22045,Louisiana,Iberia,2011,26,25,23,33,36,21,33,23,1030,10237,,,,,,,,24,3.8,23,16,33,,27,451,80,,,60,,35.9,6.7,,,,,26,100,,,,,7,,13,14,34,40610,,,1,31.9,0.4,2.3,0,2.4,,2.9,51.7,32.5
2011,22047,Louisiana,Iberville,2011,48,45,44,51,28,20,51,63,565,11632,,,,,,,,22,3.9,21,15,33,,25,110,78,,,45,,33.9,9.4,,,,,21,88,,,,,3,,12,12,33,38672,,,3,49.3,0.2,0.3,0,1.3,,1.6,49.8,49
2011,22049,Louisiana,Jackson,2011,21,19,15,38,23,57,12,10,244,9747,,,,,,,,24,5,27,6,30,,28,125,77,,,75,,46,7.5,,,,,17,33,,,,,13,,11,5,33,36073,,,13,26.9,0.3,0.2,0,1.2,,0.9,51.7,68.3
2011,22051,Louisiana,Jefferson,2011,17,7,21,16,6,5,21,20,6105,10119,,,,,,,,18,3.6,21,15,31,,27,1098,77,,,55,,56.4,6.2,,,,,23,94,,,,,9,,12,14,29,47065,,,2,26.9,0.6,3.7,0.1,9.9,,6.3,51.9,1
2011,22053,Louisiana,Jefferson Davis,2011,52,29,53,46,59,32,14,5,521,12417,,,,,,,,20,4.6,29,15,35,,27,241,76,,,70,,37.8,5.9,,,,,24,80,,,,,10,,13,14,33,38577,,,0,17.2,0.5,0.3,0,1.5,,2.2,51.6,48.6
2011,22055,Louisiana,Lafayette,2011,8,2,12,4,4,6,4,3,2401,9325,,,,,,,,16,3.4,23,21,28,,30,787,74,,,70,,61.2,5.2,,,,,20,100,,,,,12,,9,20,26,48119,,,1,25.4,0.3,1.3,0,2.9,,3.1,51.3,11.9
2011,22057,Louisiana,Lafourche,2011,9,16,5,15,40,15,8,56,1176,8827,,,,,,,,18,3.6,24,16,35,,25,478,80,,,65,,43.3,4.6,,,,,21,75,,,,,6,,12,15,29,49182,,,2,13.8,2.4,0.8,0,2.4,,3.2,51.2,27.6
2011,22059,Louisiana,La Salle,2011,13,30,18,5,17,63,17,46,231,9969,,,,,,,,18,3.2,,10,31,,28,94,59,,,65,,33.6,7,,,,,20,50,,,,,0,,12,10,33,38926,,,0,13.1,0.8,0.2,0,0.9,,0.4,49.1,73
2011,22061,Louisiana,Lincoln,2011,7,14,9,9,9,25,15,41,449,9023,,,,,,,,18,3.5,19,13,32,,34,172,76,,,70,,61.5,7.4,,,,,20,20,,,,,5,,11,12,29,36720,,,9,40.6,0.2,1.1,0,2.1,,0.8,51,36.6
2011,22063,Louisiana,Livingston,2011,16,11,22,11,26,40,5,19,1513,10144,,,,,,,,19,4,28,17,30,,29,344,80,,,75,,50.4,6.2,,,,,21,78,,,,,10,,10,16,30,53237,,,0,6.1,0.4,0.5,0,2.1,,1,50.4,54.7
2011,22065,Louisiana,Madison,2011,63,63,63,58,57,50,61,9,249,14710,,,,,,,,21,3.4,24,11,35,,26,56,71,,,50,,21.6,9.4,,,,,,100,,,,,0,,13,8,37,25788,,,17,60.9,0.2,0.2,0.7,2.8,,0.5,50.8,22.8
2011,22067,Louisiana,Morehouse,2011,56,61,50,60,48,26,60,60,521,12284,,,,,,,,25,4.7,23,8,35,,24,187,71,,,60,,37.3,14.6,,,,,27,17,,,,,0,,13,7,37,32168,,,7,44.5,0.1,0.3,0,1.2,,0.5,52.1,48.2
2011,22069,Louisiana,Natchitoches,2011,35,42,38,32,22,28,50,40,557,10992,,,,,,,,21,3.8,20,14,34,,30,190,76,,,55,,46.8,8.1,,,,,27,20,,,,,8,,12,13,35,31000,,,8,39.6,1.2,0.7,0,1.8,,1.2,52.1,51.3
2011,22071,Louisiana,Orleans,2011,60,48,62,48,8,2,63,26,5593,13776,,,,,,,,17,3.6,22,19,30,,23,649,75,,,,,58.1,8.4,,,,,26,67,,,,,7,,12,18,28,37047,,,4,62.3,0.3,2.9,0.1,4.7,,3.7,52.9,0.7
2011,22073,Louisiana,Ouachita,2011,23,17,25,27,19,12,32,8,2047,10358,,,,,,,,17,3.2,23,12,32,,27,746,73,,,60,,55.8,7,,,,,23,75,,,,,12,,12,11,30,39056,,,5,35.3,0.3,0.8,0,1.8,,0.9,52.5,22.7
2011,22075,Louisiana,Plaquemines,2011,6,12,8,10,16,38,11,2,312,8988,,,,,,,,20,4.2,22,14,33,,30,68,84,,,60,,55.6,6.3,,,,,28,33,,,,,19,,13,11,34,50948,,,5,21.2,2.5,3,0,4.1,,1.3,49.8,31.9
2011,22077,Louisiana,Pointe Coupee,2011,27,22,35,22,13,8,37,62,358,10875,,,,,,,,15,3.6,19,13,33,,25,97,87,,,55,,36.4,6.9,,,,,23,39,,,,,9,,13,13,32,39379,,,0,37,0.2,0.3,0,1.6,,1.2,51.3,59.7
2011,22079,Louisiana,Rapides,2011,24,10,27,28,15,4,18,38,1928,10366,,,,,,,,20,3.7,23,11,31,,26,811,80,,,70,,50.8,6.4,,,,,23,32,,,,,7,,13,11,32,41200,,,3,31.1,0.8,1,0,2.4,,1.7,51.7,37.9
2011,22081,Louisiana,Red River,2011,42,53,47,34,27,60,53,6,168,12091,,,,,,,,21,3.5,16,,34,,32,44,77,,,50,,43.1,9.7,,,,,,0,,,,,11,,13,,34,31495,,,11,41.8,0.4,0.1,0,1.3,,0.2,52.3,72.2
2011,22083,Louisiana,Richland,2011,39,46,39,39,41,36,49,37,329,11153,,,,,,,,21,3.2,21,7,36,,26,157,68,,,65,,40.7,9.8,,,,,,67,,,,,0,,12,6,34,30504,,,0,36.6,0.2,0.2,0,1.5,,0.1,52.8,64
2011,22085,Louisiana,Sabine,2011,22,47,13,41,46,56,35,42,353,9568,,,,,,,,23,4.6,25,9,35,,29,152,65,,,75,,38.4,8,,,,,29,57,,,,,0,,13,8,34,34786,,,0,16.8,8.3,0.2,0,3.7,,0.6,50.9,87.8
2011,22087,Louisiana,St. Bernard,2011,58,28,56,54,33,16,46,28,677,12596,,,,,,,,24,4.5,27,19,31,,17,65,77,,,40,,43,6.5,,,,,,60,,,,,8,,11,19,35,39106,,,3,15.7,0.9,2.1,0.1,8.6,,3.6,51.3,3.9
2011,22089,Louisiana,St. Charles,2011,11,4,10,12,12,19,6,14,595,9127,,,,,,,,18,3.4,21,19,32,,22,111,84,,,75,,52,6.4,,,,,17,78,,,,,17,,10,18,28,56886,,,2,27,0.3,1.1,0,3.9,,1.7,51,13.9
2011,22091,Louisiana,St. Helena,2011,57,58,58,50,53,58,56,45,169,12935,,,,,,,,,4.4,,,35,,36,33,73,,,60,,34,10.8,,,,,,50,,,,,0,,14,,35,33075,,,0,51.3,0.1,0.2,0,1.9,,0.5,51.8,100
2011,22093,Louisiana,St. James,2011,25,24,24,29,24,37,23,61,310,10308,,,,,,,,20,4.4,19,24,34,,27,117,56,,,80,,46.4,9.4,,,,,,83,,,,,14,,12,24,32,45303,,,0,48.9,0.1,0.1,0,1.3,,0.9,51.6,35
2011,22095,Louisiana,St. John the Baptist,2011,28,34,17,40,54,24,26,12,569,9940,,,,,,,,21,3.9,21,12,39,,28,172,72,,,65,,51.7,8.3,,,,,21,80,,,,,13,,12,11,34,49525,,,0,50.3,0.3,0.7,0,4.7,,2.1,51.3,14.8
2011,22097,Louisiana,St. Landry,2011,55,44,48,55,55,13,47,27,1434,12101,,,,,,,,23,4.5,28,14,34,,24,473,71,,,65,,36.8,7.5,,,,,28,80,,,,,5,,14,13,35,32373,,,2,42,0.2,0.3,0,1.4,,3.5,51.8,44.3
2011,22099,Louisiana,St. Martin,2011,43,35,34,56,44,44,29,16,714,10862,,,,,,,,25,4.7,25,18,33,,31,258,78,,,65,,34.7,6.6,,,,,23,100,,,,,4,,12,16,32,37779,,,2,30.6,0.3,1,0,1.3,,3.7,50.8,67.3
2011,22101,Louisiana,St. Mary,2011,37,26,29,43,50,11,27,30,854,10717,,,,,,,,22,4.1,23,15,35,,26,334,84,,,70,,38.4,7.5,,,,,24,100,,,,,6,,13,13,33,39856,,,2,32,1.6,1.6,0,3.5,,2.8,51.2,18
2011,22103,Louisiana,St. Tammany,2011,1,1,3,2,1,7,1,1,2676,8392,,,,,,,,15,2.9,22,19,27,,24,622,78,,,75,,66.2,5.3,,,,,16,92,,,,,11,,9,17,25,57129,,,4,11.8,0.5,1.3,0,3.8,,1.8,51,25.3
2011,22105,Louisiana,Tangipahoa,2011,47,31,54,30,47,35,31,7,1812,12528,,,,,,,,22,3.5,23,14,35,,27,565,76,,,70,,49.1,7.6,,,,,24,69,,,,,11,,11,13,29,39604,,,2,28.9,0.3,0.5,0,2.4,,2.7,51.6,53.1
2011,22107,Louisiana,Tensas,2011,12,60,14,8,38,33,62,25,114,9634,,,,,,,,16,2.4,,,35,,28,41,71,,,55,,24,12.1,,,,,,67,,,,,0,,15,,36,26135,,,0,56.2,0.2,0.2,0,3.1,,0.9,49.6,100
2011,22109,Louisiana,Terrebonne,2011,36,27,33,36,58,18,19,31,1581,10826,,,,,,,,22,3.9,25,17,37,,25,570,82,,,65,,39,4.9,,,,,29,58,,,,,9,,12,16,32,49786,,,1,18.3,5.3,1,0,3,,2.5,50.7,25
2011,22111,Louisiana,Union,2011,34,51,41,25,45,55,48,11,369,11254,,,,,,,,24,4.5,25,10,34,,29,165,73,,,55,,41,10.6,,,,,22,50,,,,,9,,13,8,37,35624,,,9,27,0.2,0.3,0,3.9,,1,51.5,85.8
2011,22113,Louisiana,Vermilion,2011,18,23,19,21,31,48,20,21,775,10043,,,,,,,,20,4.2,25,19,32,,29,285,78,,,70,,34.2,6.6,,,,,21,83,,,,,5,,12,18,32,41414,,,2,14.6,0.3,2.5,0,2.2,,5.9,51.2,56.8
2011,22115,Louisiana,Vernon,2011,5,41,6,6,56,62,9,47,571,8935,,,,,,,,19,4.1,28,16,34,,34,248,81,,,70,,52.8,6.5,,,,,20,38,,,,,2,,10,14,29,41284,,,2,13,1.5,2.1,0.4,9,,2.3,49.2,47
2011,22117,Louisiana,Washington,2011,61,57,60,52,63,41,52,22,935,13634,,,,,,,,24,4.8,31,9,35,,26,352,77,,,60,,36.1,8.7,,,,,26,75,,,,,4,,14,7,36,30725,,,0,31,0.3,0.2,0,1.5,,0.7,51.1,62.4
2011,22119,Louisiana,Webster,2011,45,33,49,35,42,14,39,44,741,12236,,,,,,,,19,3.1,25,10,34,,25,290,85,,,65,,40.4,8.7,,,,,26,33,,,,,2,,14,9,30,35981,,,12,33,0.4,0.3,0,1.6,,0.4,51.7,53.2
2011,22121,Louisiana,West Baton Rouge,2011,59,13,57,63,10,29,24,4,364,12600,,,,,,,,24,4.3,20,,32,,26,93,71,,,65,,46.6,6.7,,,,,,100,,,,,18,,12,,30,45177,,,0,35.6,0.2,0.2,0,2.5,,1.9,50.7,39.6
2011,22123,Louisiana,West Carroll,2011,15,59,16,14,29,64,59,17,171,9787,,,,,,,,18,2.5,28,9,31,,29,105,71,,,60,,30.6,16.5,,,,,,100,,,,,0,,13,8,31,30922,,,0,18.3,0.4,0.2,0,2.1,,2,48.9,100
2011,22125,Louisiana,West Feliciana,2011,20,9,46,1,5,30,16,15,234,11904,,,,,,,,18,2.5,14,10,35,,31,40,78,,,75,,27.9,7.5,,,,,,100,,,,,0,,12,10,31,50095,,,7,49.2,0.2,0.2,0,1.2,,0.1,34.1,100
2011,22127,Louisiana,Winn,2011,33,40,28,42,20,59,38,34,252,10440,,,,,,,,24,5.6,23,12,32,,27,112,65,,,65,,27.7,8.3,,,,,14,25,,,,,6,,11,10,36,31108,,,6,31.3,0.6,0.2,0.1,1.4,,0.8,46.9,64.4
2012,22000,Louisiana,,2012,,,,,,,,,61987,10361,,,,,,,,19,3.7,22,15,33,,20,50231,79,,,67,,51.7,7.5,,,,,23,60,14,,53,,9.2,,12,,30,42510,,,,32,0.5,1.5,0,3.6,,2.8,51.4,27.4
2012,22001,Louisiana,Acadia,2012,46,26,49,34,25,29,28,11,989,11706,,,,,,,,21,4,22,17,33,,20,1385,82,,,68,,37.3,6.7,,,,,27,63,1,,63,,11.6,,10,,32,36814,,,,18.8,0.2,0.2,0,1.3,,3.5,51.3,49.1
2012,22003,Louisiana,Allen,2012,41,46,35,50,47,56,35,31,,,,,,,,,,23,5.9,23,10,38,,24,388,79,,,72,,33.8,10.6,,,,,27,60,11,,56,,3.9,,12,,34,35711,,,,24.2,2,0.7,0,5.1,,2.5,44,67.8
2012,22005,Louisiana,Ascension,2012,3,4,4,5,4,9,5,63,1086,8585,,,,,,,,19,3.5,18,21,32,,16,669,79,,,76,,56.6,7.1,,,,,20,86,23,,59,,12.4,,9,,28,62069,,,,21.4,0.3,0.9,0,4.4,,2.3,50.4,25.1
2012,22007,Louisiana,Assumption,2012,39,31,17,64,17,19,47,61,324,9926,,,,,,,,24,5.2,23,11,33,,20,311,85,,,57,,31.5,10.4,,,,,25,80,0,,83,,8.7,,12,,30,43503,,,,31.1,0.4,0.2,0,2.3,,4,51.3,45.4
2012,22009,Louisiana,Avoyelles,2012,40,54,39,46,57,41,42,46,671,11038,,,,,,,,24,4.3,26,11,37,,22,683,79,,,53,,35.8,8.2,,,,,23,73,3,,67,,0,,12,,37,31523,,,,30.9,1.2,0.2,0,1.3,,2.1,50.8,62.6
2012,22011,Louisiana,Beauregard,2012,20,16,29,18,37,23,7,41,550,10519,,,,,,,,24,4.1,26,13,33,,20,616,84,,,85,,45.2,7.5,,,,,18,29,13,,65,,2.8,,12,,31,43672,,,,13.7,0.8,0.8,0,2.8,,0.7,49.7,70.4
2012,22013,Louisiana,Bienville,2012,56,52,56,43,63,44,30,32,277,12543,,,,,,,,23,3.5,27,18,39,,20,242,83,,,86,,36.7,8.9,,,,,22,29,11,,59,,0,,13,,30,31421,,,,41.8,0.3,0.2,0,1.6,,0,52,80.4
2012,22015,Louisiana,Bossier,2012,5,11,2,16,22,12,11,44,1275,8036,,,,,,,,17,3.3,28,16,31,,17,1476,83,,,76,,57.4,5.8,,,,,20,63,16,,55,,10.8,,12,,27,48957,,,,20.8,0.5,1.6,0.1,5.2,,2.7,50.9,27.9
2012,22017,Louisiana,Caddo,2012,37,19,40,36,16,2,40,57,3871,11099,,,,,,,,18,3.6,22,13,32,,19,3061,79,,,58,,54.2,7.4,,,,,24,61,21,,58,,10.3,,12,,31,37739,,,,46.8,0.4,0.9,0,2.4,,1.1,52.5,15.9
2012,22019,Louisiana,Calcasieu,2012,29,15,45,19,28,6,13,50,2903,11366,,,,,,,,18,3.7,24,16,35,,18,2615,80,,,77,,51.6,7,,,,,20,79,14,,62,,9.1,,12,,30,40928,,,,24.5,0.3,0.8,0,2.3,,1.8,51.2,22.4
2012,22021,Louisiana,Caldwell,2012,18,43,23,15,52,58,32,3,194,10161,,,,,,,,20,5,24,13,38,,24,211,80,,,82,,35.7,9.8,,,,,,33,3,,56,,9.6,,12,,32,34855,,,,18,0.5,0.2,0,1.7,,0.6,49.1,100
2012,22023,Louisiana,Cameron,2012,7,8,12,6,6,38,4,52,96,9405,,,,,,,,19,2.5,22,15,33,,23,53,81,,,84,,45.8,6.2,,,,,,50,32,,,,0,,11,,25,47100,,,,3.9,0.6,0.7,0,4.3,,1.6,48,100
2012,22025,Louisiana,Catahoula,2012,53,59,37,62,53,52,59,56,187,10870,,,,,,,,24,4.9,26,8,34,,24,227,74,,,69,,30,10.1,,,,,25,20,9,,83,,0,,13,,35,31325,,,,27.9,0.2,0.1,0,1.1,,0.6,49.5,100
2012,22027,Louisiana,Claiborne,2012,19,50,27,21,39,49,51,17,244,10317,,,,,,,,20,3.6,25,14,34,,24,285,82,,,71,,37.4,9,,,,,18,20,2,,58,,0,,14,,33,34274,,,,48.1,0.2,0.1,0,1.1,,0.6,47.9,78.1
2012,22029,Louisiana,Concordia,2012,63,53,63,59,20,48,58,7,408,14331,,,,,,,,22,4.1,22,8,33,,23,283,70,,,66,,33.1,10.9,,,,,22,40,4,,67,,10.5,,12,,33,29891,,,,39.3,0.2,0.3,0,2.1,,0.8,51,38.4
2012,22031,Louisiana,De Soto,2012,42,49,32,58,60,42,31,38,444,10605,,,,,,,,21,4,28,13,37,,20,452,72,,,76,,43.2,8.1,,,,,25,13,31,,50,,3.8,,13,,32,37379,,,,38.6,0.5,0.1,0,2.3,,0.9,52,73.5
2012,22033,Louisiana,East Baton Rouge,2012,17,5,24,13,3,1,22,54,5428,10202,,,,,,,,16,3.1,18,15,32,,17,3537,80,,,63,,66,7.2,,,,,22,75,14,,56,,14.3,,11,,26,44911,,,,44.4,0.3,2.4,0,3.1,,3.1,51.9,7.1
2012,22035,Louisiana,East Carroll,2012,64,64,64,56,54,61,64,24,165,15311,,,,,,,,25,3,,8,36,,25,141,87,,,67,,25,15.2,,,,,,33,4,,60,,0,,14,,33,25442,,,,67.6,0.2,0.4,0,1.7,,0.1,48.1,36.5
2012,22037,Louisiana,East Feliciana,2012,34,38,53,11,44,40,29,58,373,11981,,,,,,,,22,2.4,27,9,35,,20,245,70,,,64,,38.9,8.5,,,,,20,33,43,,67,,4.8,,13,,28,42347,,,,43.7,0.2,0.3,0,1,,0.8,46.4,83.4
2012,22039,Louisiana,Evangeline,2012,43,44,38,51,34,53,41,42,557,10941,,,,,,,,26,4.4,25,16,33,,21,527,72,,,55,,37.7,8.6,,,,,21,75,1,,67,,2.8,,11,,30,31736,,,,29.4,0.3,0.3,0,1.4,,5.1,50,59.4
2012,22041,Louisiana,Franklin,2012,49,62,46,48,64,55,56,20,332,11390,,,,,,,,29,4.2,30,12,36,,24,405,81,,,60,,32.6,11.2,,,,,22,60,4,,67,,5,,12,,37,30105,,,,30.5,0.3,0.2,0,1.1,,0.1,52,69.8
2012,22043,Louisiana,Grant,2012,50,34,51,42,46,36,17,64,337,11769,,,,,,,,25,5,30,14,32,,19,314,79,,,70,,38.6,7.8,,,,,25,17,41,,100,,0,,12,,33,38225,,,,11.3,0.9,0.2,0,1.5,,1.9,50.8,100
2012,22045,Louisiana,Iberia,2012,21,28,22,22,24,15,39,45,1055,10124,,,,,,,,23,4,21,14,34,,20,1246,81,,,77,,37.2,7.8,,,,,25,100,0,,66,,6.7,,12,,31,40914,,,,31.9,0.4,2.3,0,2.4,,3.3,51.7,32.5
2012,22047,Louisiana,Iberville,2012,31,42,20,52,18,21,54,62,495,10079,,,,,,,,25,3.7,18,14,37,,20,343,76,,,46,,35.4,10.4,,,,,21,88,26,,50,,3.1,,13,,33,40140,,,,49.3,0.2,0.3,0,1.3,,1.7,49.8,49
2012,22049,Louisiana,Jackson,2012,16,22,9,39,30,43,15,12,245,8981,,,,,,,,24,5.4,26,9,31,,19,283,81,,,73,,46.7,7.3,,,,,22,33,9,,77,,13.3,,11,,34,36312,,,,26.9,0.3,0.2,0,1.2,,1,51.7,68.3
2012,22051,Louisiana,Jefferson,2012,14,9,16,12,10,8,20,23,5993,9868,,,,,,,,19,3.7,21,15,32,,20,2821,79,,,62,,55.7,6.9,,,,,23,94,8,,49,,10.2,,12,,29,46500,,,,26.9,0.6,3.7,0.1,9.9,,7.3,51.9,1
2012,22053,Louisiana,Jefferson Davis,2012,52,24,52,44,51,25,14,22,510,11827,,,,,,,,22,4.8,28,16,34,,20,655,81,,,85,,40.5,6.3,,,,,23,80,1,,74,,9.6,,13,,32,39246,,,,17.2,0.5,0.3,0,1.5,,2.7,51.6,48.6
2012,22055,Louisiana,Lafayette,2012,6,3,10,4,8,3,10,14,2437,9151,,,,,,,,16,3.4,23,22,29,,18,2268,77,,,71,,60.5,5.7,,,,,20,91,14,,51,,12.8,,8,,25,48295,,,,25.4,0.3,1.3,0,2.9,,3.7,51.3,11.9
2012,22057,Louisiana,Lafourche,2012,8,12,8,14,31,14,6,55,1162,8963,,,,,,,,20,3.8,23,16,36,,19,1162,83,,,72,,42.7,5.2,,,,,20,75,24,,53,,8.5,,13,,31,48436,,,,13.8,2.4,0.8,0,2.4,,3.7,51.2,27.6
2012,22059,Louisiana,La Salle,2012,2,23,6,2,15,60,12,51,216,8905,,,,,,,,16,3,,6,33,,21,185,66,,,70,,37.9,6,,,,,18,50,8,,77,,0,,12,,32,41563,,,,13.1,0.8,0.2,0,0.9,,0.8,49.1,73
2012,22061,Louisiana,Lincoln,2012,9,10,7,17,7,16,23,2,448,8951,,,,,,,,21,3.9,16,13,34,,21,453,79,,,73,,61.9,8.3,,,,,20,20,1,,56,,11.6,,11,,31,36532,,,,40.6,0.2,1.1,0,2.1,,1,51,36.6
2012,22063,Louisiana,Livingston,2012,13,14,19,10,21,30,8,48,1557,10057,,,,,,,,19,4.2,25,17,31,,19,915,78,,,75,,53.5,7.2,,,,,22,56,25,,58,,8.9,,10,,30,53125,,,,6.1,0.4,0.5,0,2.1,,1.1,50.4,54.7
2012,22065,Louisiana,Madison,2012,58,63,59,32,59,59,62,15,220,13478,,,,,,,,19,2.9,24,11,37,,24,138,68,,,65,,25,10.6,,,,,,100,1,,55,,0,,13,,35,25565,,,,60.9,0.2,0.2,0.7,2.8,,0.3,50.8,22.8
2012,22067,Louisiana,Morehouse,2012,59,57,55,61,45,37,61,43,524,12373,,,,,,,,24,4.9,21,6,38,,22,441,73,,,55,,33.6,14.2,,,,,25,33,5,,68,,0,,13,,36,29526,,,,44.5,0.1,0.3,0,1.2,,0.4,52.1,48.2
2012,22069,Louisiana,Natchitoches,2012,30,40,21,47,43,32,48,9,542,10110,,,,,,,,22,4.3,24,13,36,,21,533,76,,,57,,46.7,8.1,,,,,26,20,9,,49,,5.1,,12,,33,32055,,,,39.6,1.2,0.7,0,1.8,,1,52.1,51.3
2012,22071,Louisiana,Orleans,2012,60,27,62,45,11,20,52,21,4562,13987,,,,,,,,18,3.5,21,19,30,,27,2204,74,,,66,,61.5,8.8,,,,,25,68,21,,41,,6.5,,12,,29,36525,,,,62.3,0.3,2.9,0.1,4.7,,4,52.9,0.7
2012,22073,Louisiana,Ouachita,2012,23,17,15,31,14,11,25,29,2036,9810,,,,,,,,19,3.4,22,12,32,,21,1866,79,,,67,,53.7,7.7,,,,,24,75,27,,56,,11.9,,13,,30,37728,,,,35.3,0.3,0.8,0,1.8,,0.9,52.5,22.7
2012,22075,Louisiana,Plaquemines,2012,12,6,13,9,13,34,2,8,286,9589,,,,,,,,22,4.3,21,11,34,,21,143,80,,,79,,57.2,6.6,,,,,26,50,30,,56,,14.3,,13,,31,49781,,,,21.2,2.5,3,0,4.1,,2.1,49.8,31.9
2012,22077,Louisiana,Pointe Coupee,2012,35,20,43,27,5,26,37,59,363,11250,,,,,,,,15,2.9,16,13,32,,20,270,80,,,50,,37.6,8.5,,,,,21,39,32,,50,,4.5,,13,,31,41277,,,,37,0.2,0.3,0,1.6,,1.2,51.3,59.7
2012,22079,Louisiana,Rapides,2012,24,18,25,25,19,5,27,36,1939,10239,,,,,,,,21,3.7,24,11,33,,19,2038,81,,,67,,50.8,7,,,,,21,32,26,,60,,8.2,,14,,31,39693,,,,31.1,0.8,1,0,2.4,,1.6,51.7,37.9
2012,22081,Louisiana,Red River,2012,51,51,44,53,48,50,44,33,164,11339,,,,,,,,24,4.4,,,35,,22,122,80,,,57,,43.1,8.8,,,,,,0,8,,57,,0,,13,,33,32711,,,,41.8,0.4,0.1,0,1.3,,0.2,52.3,72.2
2012,22083,Louisiana,Richland,2012,44,45,47,41,26,33,55,35,326,11416,,,,,,,,21,3.7,20,9,36,,24,399,79,,,60,,42.6,10.1,,,,,28,67,3,,63,,0,,12,,30,32646,,,,36.6,0.2,0.2,0,1.5,,0.2,52.8,64
2012,22085,Louisiana,Sabine,2012,26,36,5,63,40,51,26,30,346,8688,,,,,,,,26,5.8,23,11,36,,24,425,78,,,81,,40.5,6.9,,,,,33,57,9,,54,,0,,15,,33,36604,,,,16.8,8.3,0.2,0,3.7,,0.7,50.9,87.8
2012,22087,Louisiana,St. Bernard,2012,62,39,60,60,33,64,18,13,444,13745,,,,,,,,25,4.4,26,19,33,,35,190,77,,,74,,44.8,7,,,,,,40,17,,43,,9.8,,11,,32,38700,,,,15.7,0.9,2.1,0.1,8.6,,4.6,51.3,3.9
2012,22089,Louisiana,St. Charles,2012,4,2,3,7,9,7,3,26,578,8389,,,,,,,,18,3.6,20,20,33,,16,296,85,,,79,,53.2,7.2,,,,,17,78,17,,49,,15.5,,11,,29,54553,,,,27,0.3,1.1,0,3.9,,1.7,51,13.9
2012,22091,Louisiana,St. Helena,2012,55,60,57,35,50,45,60,60,185,12712,,,,,,,,,3.8,,,37,,23,91,78,,,51,,40.7,13,,,,,,50,51,,60,,0,,14,,34,32936,,,,51.3,0.1,0.2,0,1.9,,0.3,51.8,100
2012,22093,Louisiana,St. James,2012,22,37,18,26,38,13,49,53,308,10013,,,,,,,,23,4.4,21,25,36,,17,285,72,,,74,,45.7,11.4,,,,,30,67,0,,56,,14.2,,13,,33,45829,,,,48.9,0.1,0.1,0,1.3,,1.2,51.6,35
2012,22095,Louisiana,St. John the Baptist,2012,28,29,28,37,32,24,36,40,623,10371,,,,,,,,21,3.7,20,14,39,,18,414,78,,,61,,50.7,10.1,,,,,22,80,23,,52,,10.6,,12,,32,45987,,,,50.3,0.3,0.7,0,4.7,,2.2,51.3,14.8
2012,22097,Louisiana,St. Landry,2012,54,48,50,55,61,17,43,34,1448,11719,,,,,,,,23,4.3,27,14,38,,21,1196,77,,,63,,38.1,8.3,,,,,25,80,1,,63,,5.4,,14,,33,33466,,,,42,0.2,0.3,0,1.4,,3.4,51.8,44.3
2012,22099,Louisiana,St. Martin,2012,38,35,31,54,36,35,34,47,704,10545,,,,,,,,24,4.5,22,16,36,,21,654,79,,,72,,35.6,7.3,,,,,23,100,31,,49,,5.7,,12,,30,39444,,,,30.6,0.3,1,0,1.3,,4.4,50.8,67.3
2012,22101,Louisiana,St. Mary,2012,33,41,34,38,55,10,50,39,855,10712,,,,,,,,21,4.3,24,14,38,,21,926,88,,,68,,38.4,9.3,,,,,23,100,0,,54,,5.9,,13,,33,40193,,,,32,1.6,1.6,0,3.5,,3.2,51.2,18
2012,22103,Louisiana,St. Tammany,2012,1,1,1,3,2,4,1,4,2670,8005,,,,,,,,15,3.2,22,19,28,,17,1629,80,,,76,,66,5.8,,,,,17,92,16,,42,,11.2,,10,,24,59389,,,,11.8,0.5,1.3,0,3.8,,1.8,51,25.3
2012,22105,Louisiana,Tangipahoa,2012,48,33,54,29,35,31,45,1,1835,12056,,,,,,,,23,3.6,22,13,36,,20,1373,79,,,68,,49.5,8.9,,,,,23,69,0,,47,,13.5,,11,,32,37454,,,,28.9,0.3,0.5,0,2.4,,2.2,51.6,53.1
